beat_index,sample,time_s,symbol,hr_bpm
0,487,1.3527777777777779,N,82.44274809160305
1,689,1.913888888888889,V,106.93069306930693
2,964,2.6777777777777776,N,78.54545454545455
3,1147,3.186111111111111,V,118.03278688524591
4,1433,3.9805555555555556,N,75.52447552447553
5,1610,4.472222222222222,V,122.03389830508475
6,1882,5.227777777777778,N,79.41176470588235
7,2072,5.7555555555555555,V,113.68421052631578
8,2331,6.475,N,83.3976833976834
9,2506,6.961111111111111,V,123.42857142857143
10,2784,7.733333333333333,N,77.6978417266187
11,2989,8.302777777777777,V,105.3658536585366
12,3300,9.166666666666666,N,69.45337620578778
13,3484,9.677777777777777,V,117.3913043478261
14,3738,10.383333333333333,N,85.03937007874015
15,3975,11.041666666666666,N,91.13924050632912
16,4201,11.669444444444444,N,95.57522123893806
17,4416,12.266666666666667,N,100.46511627906978
18,4646,12.905555555555555,N,93.91304347826087
19,4880,13.555555555555555,N,92.3076923076923
20,5134,14.261111111111111,N,85.03937007874015
21,5381,14.947222222222223,N,87.4493927125506
22,5605,15.569444444444445,N,96.42857142857143
23,5821,16.169444444444444,N,100.0
24,6087,16.908333333333335,N,81.203007518797
25,6285,17.458333333333332,V,109.09090909090908
26,6547,18.18611111111111,N,82.44274809160305
27,6718,18.66111111111111,V,126.31578947368422
28,7076,19.655555555555555,N,60.33519553072625
29,7260,20.166666666666668,V,117.3913043478261
30,7455,20.708333333333332,V,110.76923076923077
31,7899,21.941666666666666,N,48.648648648648646
32,8074,22.427777777777777,V,123.42857142857143
33,8394,23.316666666666666,N,67.5
34,8577,23.825,V,118.03278688524591
35,8726,24.238888888888887,V,144.96644295302013
36,9170,25.47222222222222,N,48.648648648648646
37,9384,26.066666666666666,V,100.93457943925233
38,9710,26.97222222222222,N,66.25766871165644
39,9963,27.675,N,85.37549407114625
40,10197,28.325,N,92.3076923076923
41,10436,28.988888888888887,N,90.3765690376569
42,10673,29.647222222222222,N,91.13924050632912
43,10901,30.280555555555555,N,94.73684210526316
44,11132,30.92222222222222,N,93.5064935064935
45,11361,31.558333333333334,N,94.3231441048035
46,11617,32.269444444444446,N,84.375
47,11857,32.93611111111111,N,90.0
48,12159,33.775,N,71.52317880794702
49,12364,34.34444444444444,V,105.3658536585366
50,12721,35.33611111111111,N,60.50420168067227
51,12900,35.833333333333336,V,120.6703910614525
52,13052,36.25555555555555,V,142.10526315789474
53,13522,37.56111111111111,N,45.95744680851064
54,13733,38.147222222222226,V,102.3696682464455
55,14101,39.169444444444444,N,58.69565217391305
56,14360,39.888888888888886,N,83.3976833976834
57,14538,40.38333333333333,V,121.34831460674157
58,14903,41.397222222222226,N,59.178082191780824
59,15085,41.90277777777778,V,118.68131868131869
60,15410,42.80555555555556,N,66.46153846153847
61,15595,43.31944444444444,V,116.75675675675677
62,15928,44.24444444444445,N,64.86486486486486
63,16195,44.986111111111114,N,80.89887640449437
64,16385,45.513888888888886,V,113.68421052631578
65,16695,46.375,N,69.6774193548387
66,16880,46.888888888888886,V,116.75675675675677
67,17164,47.67777777777778,N,76.05633802816902
68,17338,48.16111111111111,V,124.13793103448276
69,17666,49.07222222222222,N,65.85365853658537
70,17860,49.611111111111114,V,111.34020618556701
71,18199,50.55277777777778,N,63.716814159292035
72,18383,51.06388888888889,V,117.3913043478261
73,18697,51.93611111111111,N,68.78980891719745
74,18939,52.608333333333334,N,89.25619834710743
75,19128,53.13333333333333,V,114.28571428571428
76,19432,53.977777777777774,N,71.05263157894737
77,19606,54.46111111111111,V,124.13793103448276
78,19915,55.31944444444444,N,69.90291262135922
79,20099,55.830555555555556,V,117.3913043478261
80,20430,56.75,N,65.25679758308158
81,20641,57.33611111111111,V,102.3696682464455
82,20953,58.202777777777776,N,69.23076923076923
83,21120,58.666666666666664,V,129.34131736526945
84,21390,59.416666666666664,N,80.0
85,21574,59.92777777777778,V,117.3913043478261
86,21873,60.75833333333333,N,72.24080267558529
87,22057,61.269444444444446,V,117.3913043478261
88,22388,62.18888888888889,N,65.25679758308158
89,22646,62.90555555555556,N,83.72093023255813
90,22880,63.55555555555556,N,92.3076923076923
91,23122,64.22777777777777,N,89.25619834710743
92,23347,64.85277777777777,N,96.0
93,23602,65.56111111111112,N,84.70588235294117
94,23857,66.26944444444445,N,84.70588235294117
95,24098,66.93888888888888,N,89.62655601659752
96,24341,67.6138888888889,N,88.88888888888889
97,24595,68.31944444444444,N,85.03937007874015
98,24824,68.95555555555555,N,94.3231441048035
99,25102,69.72777777777777,N,77.6978417266187
100,25313,70.31388888888888,V,102.3696682464455
101,25627,71.18611111111112,N,68.78980891719745
102,25795,71.65277777777777,V,128.57142857142856
103,25993,72.20277777777778,V,109.09090909090908
104,26387,73.29722222222222,N,54.8223350253807
105,26595,73.875,V,103.84615384615385
106,26918,74.77222222222223,N,66.87306501547987
107,27109,75.30277777777778,V,113.08900523560209
108,27474,76.31666666666666,N,59.178082191780824
109,27652,76.81111111111112,V,121.34831460674157
110,28018,77.82777777777778,N,59.016393442622956
111,28203,78.34166666666667,V,116.75675675675677
112,28559,79.33055555555555,N,60.674157303370784
113,28747,79.85277777777777,V,114.89361702127658
114,29108,80.85555555555555,N,59.83379501385041
115,29311,81.41944444444445,V,106.4039408866995
116,29662,82.39444444444445,N,61.53846153846154
117,29896,83.04444444444445,N,92.3076923076923
118,30123,83.675,N,95.15418502202644
119,30286,84.12777777777778,V,132.51533742331287
120,30597,84.99166666666666,N,69.45337620578778
121,30788,85.52222222222223,V,113.08900523560209
122,31128,86.46666666666667,N,63.529411764705884
123,31323,87.00833333333334,V,110.76923076923077
124,31615,87.81944444444444,N,73.97260273972603
125,31793,88.31388888888888,V,121.34831460674157
126,32095,89.15277777777777,N,71.52317880794702
127,32286,89.68333333333334,V,113.08900523560209
128,32599,90.55277777777778,N,69.00958466453675
129,32770,91.02777777777777,V,126.31578947368422
130,33099,91.94166666666666,N,65.65349544072949
131,33367,92.68611111111112,N,80.59701492537313
132,33637,93.43611111111112,N,80.0
133,33908,94.18888888888888,N,79.70479704797049
134,34159,94.8861111111111,N,86.05577689243029
135,34408,95.57777777777778,N,86.74698795180723
136,34660,96.27777777777777,N,85.71428571428572
137,34945,97.06944444444444,N,75.78947368421053
138,35234,97.87222222222222,N,74.74048442906575
139,35531,98.69722222222222,N,72.72727272727273
140,35884,99.67777777777778,N,61.18980169971672
141,36087,100.24166666666666,V,106.4039408866995
142,36445,101.23611111111111,N,60.33519553072625
143,36629,101.74722222222222,V,117.3913043478261
144,36994,102.7611111111111,N,59.178082191780824
145,37184,103.28888888888889,V,113.68421052631578
146,37556,104.32222222222222,N,58.06451612903225
147,37789,104.96944444444445,V,92.7038626609442
148,38127,105.90833333333333,N,63.905325443786985
149,38319,106.44166666666666,V,112.5
150,38635,107.31944444444444,N,68.35443037974683
151,38810,107.80555555555556,V,123.42857142857143
152,39129,108.69166666666666,N,67.7115987460815
153,39319,109.21944444444445,V,113.68421052631578
154,39484,109.67777777777778,V,130.9090909090909
155,39791,110.53055555555555,V,70.35830618892508
156,40200,111.66666666666667,N,52.81173594132029
157,40377,112.15833333333333,V,122.03389830508475
158,40688,113.02222222222223,N,69.45337620578778
159,40889,113.58055555555555,V,107.46268656716417
160,41164,114.34444444444445,N,78.54545454545455
161,41355,114.875,V,113.08900523560209
162,41732,115.92222222222222,N,57.29442970822281
163,41928,116.46666666666667,V,110.20408163265307
164,42277,117.43611111111112,N,61.891117478510026
165,42542,118.17222222222222,N,81.50943396226414
166,42730,118.69444444444444,V,114.89361702127658
167,43032,119.53333333333333,N,71.52317880794702
168,43212,120.03333333333333,V,120.0
169,43516,120.87777777777778,N,71.05263157894737
170,43722,121.45,V,104.85436893203884
171,44063,122.39722222222223,N,63.34310850439883
172,44261,122.94722222222222,V,109.09090909090908
173,44569,123.80277777777778,N,70.12987012987013
174,44756,124.32222222222222,V,115.50802139037432
175,45060,125.16666666666667,N,71.05263157894737
176,45245,125.68055555555556,V,116.75675675675677
177,45569,126.58055555555555,N,66.66666666666667
178,45759,127.10833333333333,V,113.68421052631578
179,46085,128.01388888888889,N,66.25766871165644
180,46270,128.52777777777777,V,116.75675675675677
181,46608,129.46666666666667,N,63.905325443786985
182,46835,130.09722222222223,N,95.15418502202644
183,47027,130.63055555555556,V,112.5
184,47352,131.53333333333333,N,66.46153846153847
185,47544,132.06666666666666,V,112.5
186,47857,132.9361111111111,N,69.00958466453675
187,48043,133.45277777777778,V,116.1290322580645
188,48374,134.37222222222223,N,65.25679758308158
189,48710,135.30555555555554,N,64.28571428571428
190,49016,136.15555555555557,N,70.58823529411765
191,49273,136.86944444444444,N,84.04669260700389
192,49553,137.6472222222222,N,77.14285714285714
193,49834,138.42777777777778,N,76.86832740213524
194,50112,139.2,N,77.6978417266187
195,50385,139.95833333333334,N,79.12087912087912
196,50660,140.72222222222223,N,78.54545454545455
197,50927,141.4638888888889,N,80.89887640449437
198,51197,142.2138888888889,N,80.0
199,51461,142.94722222222222,N,81.81818181818183
200,51707,143.63055555555556,N,87.80487804878048
201,51954,144.31666666666666,N,87.4493927125506
202,52200,145.0,N,87.80487804878048
203,52486,145.79444444444445,N,75.52447552447553
204,52784,146.62222222222223,N,72.48322147651007
205,53063,147.3972222222222,N,77.41935483870968
206,53300,148.05555555555554,N,91.13924050632912
207,53541,148.725,N,89.62655601659752
208,53789,149.4138888888889,N,87.09677419354838
209,54037,150.1027777777778,N,87.09677419354838
210,54289,150.80277777777778,N,85.71428571428572
211,54555,151.54166666666666,N,81.203007518797
212,54823,152.2861111111111,N,80.59701492537313
213,55070,152.97222222222223,N,87.4493927125506
214,55329,153.69166666666666,N,83.3976833976834
215,55604,154.45555555555555,N,78.54545454545455
216,55845,155.125,N,89.62655601659752
217,56080,155.77777777777777,N,91.91489361702128
218,56321,156.44722222222222,N,89.62655601659752
219,56571,157.14166666666668,N,86.4
220,56820,157.83333333333334,N,86.74698795180723
221,57096,158.6,N,78.26086956521739
222,57375,159.375,N,77.41935483870968
223,57618,160.05,N,88.88888888888889
224,57857,160.7138888888889,N,90.3765690376569
225,58096,161.37777777777777,N,90.3765690376569
226,58352,162.0888888888889,N,84.375
227,58608,162.8,N,84.375
228,58878,163.55,N,80.0
229,59140,164.27777777777777,N,82.44274809160305
230,59399,164.99722222222223,N,83.3976833976834
231,59649,165.69166666666666,N,86.4
232,59905,166.40277777777777,N,84.375
233,60162,167.11666666666667,N,84.04669260700389
234,60402,167.78333333333333,N,90.0
235,60646,168.4611111111111,N,88.52459016393442
236,60883,169.11944444444444,N,91.13924050632912
237,61148,169.85555555555555,N,81.50943396226414
238,61436,170.65555555555557,N,75.0
239,61706,171.40555555555557,N,80.0
240,61947,172.075,N,89.62655601659752
241,62182,172.7277777777778,N,91.91489361702128
242,62424,173.4,N,89.25619834710743
243,62671,174.0861111111111,N,87.4493927125506
244,62920,174.77777777777777,N,86.74698795180723
245,63181,175.50277777777777,N,82.75862068965517
246,63444,176.23333333333332,N,82.12927756653993
247,63633,176.75833333333333,V,114.28571428571428
248,63859,177.38611111111112,V,95.57522123893806
249,64209,178.35833333333332,N,61.714285714285715
250,64395,178.875,V,116.1290322580645
251,64628,179.5222222222222,V,92.7038626609442
252,64936,180.37777777777777,N,70.12987012987013
253,65114,180.87222222222223,V,121.34831460674157
254,65441,181.78055555555557,N,66.05504587155963
255,65638,182.32777777777778,V,109.6446700507614
256,65988,183.3,N,61.714285714285715
257,66173,183.8138888888889,V,116.75675675675677
258,66478,184.6611111111111,N,70.81967213114754
259,66647,185.13055555555556,V,127.81065088757397
260,66953,185.98055555555555,N,70.58823529411765
261,67155,186.54166666666666,V,106.93069306930693
262,67471,187.41944444444445,N,68.35443037974683
263,67668,187.96666666666667,V,109.6446700507614
264,67997,188.88055555555556,N,65.65349544072949
265,68191,189.41944444444445,V,111.34020618556701
266,68514,190.31666666666666,N,66.87306501547987
267,68701,190.8361111111111,V,115.50802139037432
268,69036,191.76666666666668,N,64.4776119402985
269,69212,192.25555555555556,V,122.72727272727273
270,69532,193.14444444444445,N,67.5
271,69754,193.76111111111112,V,97.29729729729729
272,70100,194.72222222222223,N,62.42774566473988
273,70307,195.29722222222222,V,104.34782608695653
274,70618,196.1611111111111,N,69.45337620578778
275,70798,196.6611111111111,V,120.0
276,71086,197.4611111111111,N,75.0
277,71261,197.94722222222222,V,123.42857142857143
278,71576,198.82222222222222,N,68.57142857142857
279,71819,199.49722222222223,V,88.88888888888889
280,72110,200.30555555555554,N,74.22680412371133
281,72320,200.88888888888889,V,102.85714285714285
282,72612,201.7,N,73.97260273972603
283,72805,202.23611111111111,V,111.91709844559585
284,73125,203.125,N,67.5
285,73309,203.63611111111112,V,117.3913043478261
286,73599,204.44166666666666,N,74.48275862068965
287,73788,204.96666666666667,V,114.28571428571428
288,74094,205.81666666666666,N,70.58823529411765
289,74282,206.3388888888889,V,114.89361702127658
290,74596,207.2111111111111,N,68.78980891719745
291,74853,207.925,N,84.04669260700389
292,75084,208.56666666666666,N,93.5064935064935
293,75318,209.21666666666667,N,92.3076923076923
294,75517,209.76944444444445,A,108.54271356783919
295,75785,210.51388888888889,N,80.59701492537313
296,76059,211.275,N,78.83211678832117
297,76333,212.0361111111111,N,78.83211678832117
298,76583,212.73055555555555,N,86.4
299,76841,213.44722222222222,N,83.72093023255813
300,77100,214.16666666666666,N,83.3976833976834
301,77346,214.85,N,87.80487804878048
302,77564,215.45555555555555,V,99.08256880733946
303,77856,216.26666666666668,N,73.97260273972603
304,78043,216.7861111111111,V,115.50802139037432
305,78374,217.70555555555555,N,65.25679758308158
306,78565,218.23611111111111,V,113.08900523560209
307,78948,219.3,N,56.39686684073107
308,79133,219.8138888888889,V,116.75675675675677
309,79451,220.69722222222222,N,67.9245283018868
310,79657,221.26944444444445,V,104.85436893203884
311,79935,222.04166666666666,N,77.6978417266187
312,80174,222.70555555555555,N,90.3765690376569
313,80438,223.4388888888889,N,81.81818181818183
314,80686,224.12777777777777,V,87.09677419354838
315,80972,224.92222222222222,N,75.52447552447553
316,81170,225.47222222222223,V,109.09090909090908
317,81459,226.275,N,74.74048442906575
318,81653,226.8138888888889,V,111.34020618556701
319,81962,227.67222222222222,N,69.90291262135922
320,82144,228.17777777777778,V,118.68131868131869
321,82428,228.96666666666667,N,76.05633802816902
322,82613,229.48055555555555,V,116.75675675675677
323,82764,229.9,V,143.04635761589404
324,83181,231.05833333333334,N,51.798561151079134
325,83371,231.5861111111111,V,113.68421052631578
326,83667,232.40833333333333,N,72.97297297297298
327,83909,233.08055555555555,N,89.25619834710743
328,84125,233.68055555555554,N,100.0
329,84351,234.30833333333334,N,95.57522123893806
330,84595,234.98611111111111,N,88.52459016393442
331,84845,235.68055555555554,N,86.4
332,85098,236.38333333333333,N,85.37549407114625
333,85321,237.00277777777777,N,96.8609865470852
334,85547,237.63055555555556,N,95.57522123893806
335,85791,238.30833333333334,N,88.52459016393442
336,85981,238.8361111111111,A,113.68421052631578
337,86230,239.52777777777777,N,86.74698795180723
338,86473,240.20277777777778,N,88.88888888888889
339,86694,240.81666666666666,N,97.73755656108597
340,86927,241.4638888888889,N,92.7038626609442
341,87160,242.11111111111111,N,92.7038626609442
342,87340,242.61111111111111,V,120.0
343,87666,243.51666666666668,N,66.25766871165644
344,87848,244.0222222222222,V,118.68131868131869
345,88135,244.81944444444446,N,75.26132404181185
346,88356,245.43333333333334,N,97.73755656108597
347,88572,246.03333333333333,N,100.0
348,88801,246.66944444444445,N,94.3231441048035
349,89037,247.325,N,91.52542372881356
350,89285,248.01388888888889,N,87.09677419354838
351,89549,248.74722222222223,N,81.81818181818183
352,89784,249.4,N,91.91489361702128
353,90008,250.0222222222222,N,96.42857142857143
354,90228,250.63333333333333,N,98.18181818181817
355,90463,251.2861111111111,N,91.91489361702128
356,90704,251.95555555555555,N,89.62655601659752
357,90940,252.61111111111111,N,91.52542372881356
358,91173,253.25833333333333,N,92.7038626609442
359,91408,253.9111111111111,N,91.91489361702128
360,91663,254.61944444444444,N,84.70588235294117
361,91898,255.2722222222222,N,91.91489361702128
362,92140,255.94444444444446,N,89.25619834710743
363,92383,256.61944444444447,N,88.88888888888889
364,92581,257.1694444444444,V,109.09090909090908
365,92834,257.8722222222222,N,85.37549407114625
366,93032,258.4222222222222,N,109.09090909090908
367,93287,259.13055555555553,N,84.70588235294117
368,93511,259.7527777777778,V,96.42857142857143
369,93818,260.60555555555555,N,70.35830618892508
370,94047,261.2416666666667,V,94.3231441048035
371,94292,261.9222222222222,N,88.16326530612244
372,94517,262.5472222222222,N,96.0
373,94736,263.15555555555557,N,98.63013698630138
374,94965,263.7916666666667,N,94.3231441048035
375,95196,264.43333333333334,N,93.5064935064935
376,95405,265.0138888888889,V,103.34928229665071
377,95676,265.76666666666665,N,79.70479704797049
378,95913,266.425,N,91.13924050632912
379,96152,267.0888888888889,N,90.3765690376569
380,96354,267.65,V,106.93069306930693
381,96637,268.43611111111113,N,76.32508833922262
382,96819,268.94166666666666,V,118.68131868131869
383,97073,269.64722222222224,N,85.03937007874015
384,97290,270.25,N,99.53917050691244
385,97511,270.8638888888889,N,97.73755656108597
386,97734,271.48333333333335,N,96.8609865470852
387,97983,272.175,N,86.74698795180723
388,98234,272.8722222222222,N,86.05577689243029
