time_s,MLII,V1
0.0,0.35,0.105
0.002777777777777778,0.35,0.105
0.005555555555555556,0.35,0.105
0.008333333333333333,0.35,0.105
0.011111111111111112,0.35,0.105
0.013888888888888888,0.35,0.105
0.016666666666666666,0.35,0.105
0.019444444444444445,0.35,0.105
0.022222222222222223,0.35,0.105
0.025,0.02,0.115
0.027777777777777776,-0.21,0.09
0.030555555555555555,-0.33,0.075
0.03333333333333333,-0.37,0.095
0.03611111111111111,-0.335,0.115
0.03888888888888889,-0.285,0.09
0.041666666666666664,-0.23,0.085
0.044444444444444446,-0.215,0.09
0.04722222222222222,-0.2,0.085
0.05,-0.19,0.07
0.05277777777777778,-0.2,0.075
0.05555555555555555,-0.2,0.09
0.058333333333333334,-0.21,0.095
0.06111111111111111,-0.23,0.07
0.06388888888888888,-0.25,0.03
0.06666666666666667,-0.255,0.04
0.06944444444444445,-0.245,0.07
0.07222222222222222,-0.24,0.065
0.075,-0.215,0.04
0.07777777777777778,-0.235,0.04
0.08055555555555556,-0.23,0.045
0.08333333333333333,-0.23,0.04
0.08611111111111111,-0.205,0.015
0.08888888888888889,-0.18,0.04
0.09166666666666666,-0.165,0.05
0.09444444444444444,-0.195,0.06
0.09722222222222222,-0.21,0.04
0.1,-0.215,0.03
0.10277777777777777,-0.195,0.06
0.10555555555555556,-0.17,0.085
0.10833333333333334,-0.155,0.07
0.1111111111111111,-0.175,0.045
0.11388888888888889,-0.195,0.05
0.11666666666666667,-0.21,0.065
0.11944444444444445,-0.2,0.09
0.12222222222222222,-0.2,0.08
0.125,-0.195,0.075
0.12777777777777777,-0.185,0.075
0.13055555555555556,-0.185,0.05
0.13333333333333333,-0.18,0.045
0.1361111111111111,-0.175,0.065
0.1388888888888889,-0.175,0.07
0.14166666666666666,-0.165,0.085
0.14444444444444443,-0.14,0.075
0.14722222222222223,-0.12,0.045
0.15,-0.115,0.06
0.1527777777777778,-0.13,0.075
0.15555555555555556,-0.155,0.06
0.15833333333333333,-0.19,0.035
0.16111111111111112,-0.19,0.04
0.1638888888888889,-0.185,0.055
0.16666666666666666,-0.18,0.07
0.16944444444444445,-0.16,0.06
0.17222222222222222,-0.14,0.07
0.175,-0.13,0.07
0.17777777777777778,-0.11,0.07
0.18055555555555555,-0.12,0.055
0.18333333333333332,-0.13,0.04
0.18611111111111112,-0.13,0.05
0.18888888888888888,-0.125,0.08
0.19166666666666668,-0.095,0.085
0.19444444444444445,-0.095,0.06
0.19722222222222222,-0.09,0.05
0.2,-0.08,0.065
0.20277777777777778,-0.075,0.08
0.20555555555555555,-0.07,0.07
0.20833333333333334,-0.075,0.05
0.2111111111111111,-0.065,0.065
0.21388888888888888,-0.055,0.06
0.21666666666666667,-0.06,0.075
0.21944444444444444,-0.055,0.055
0.2222222222222222,-0.04,0.06
0.225,-0.03,0.08
0.22777777777777777,-0.02,0.065
0.23055555555555557,-0.015,0.05
0.23333333333333334,-0.015,0.04
0.2361111111111111,-0.01,0.065
0.2388888888888889,0.015,0.095
0.24166666666666667,0.035,0.075
0.24444444444444444,0.025,0.05
0.24722222222222223,0.015,0.065
0.25,0.015,0.07
0.25277777777777777,0.025,0.06
0.25555555555555554,0.025,0.055
0.25833333333333336,0.04,0.05
0.2611111111111111,0.04,0.07
0.2638888888888889,0.03,0.065
0.26666666666666666,0.015,0.065
0.26944444444444443,0.02,0.07
0.2722222222222222,0.035,0.085
0.275,0.045,0.09
0.2777777777777778,0.05,0.06
0.28055555555555556,0.025,0.035
0.2833333333333333,0.02,0.055
0.2861111111111111,0.02,0.085
0.28888888888888886,0.01,0.095
0.2916666666666667,0.01,0.08
0.29444444444444445,0.0,0.08
0.2972222222222222,-0.005,0.075
0.3,-0.025,0.075
0.30277777777777776,-0.02,0.07
0.3055555555555556,-0.03,0.07
0.30833333333333335,-0.03,0.085
0.3111111111111111,-0.035,0.075
0.3138888888888889,-0.045,0.06
0.31666666666666665,-0.055,0.055
0.3194444444444444,-0.06,0.085
0.32222222222222224,-0.065,0.105
0.325,-0.075,0.085
0.3277777777777778,-0.08,0.06
0.33055555555555555,-0.075,0.045
0.3333333333333333,-0.075,0.06
0.33611111111111114,-0.075,0.085
0.3388888888888889,-0.07,0.09
0.3416666666666667,-0.075,0.075
0.34444444444444444,-0.08,0.085
0.3472222222222222,-0.09,0.09
0.35,-0.1,0.095
0.3527777777777778,-0.095,0.08
0.35555555555555557,-0.095,0.075
0.35833333333333334,-0.085,0.08
0.3611111111111111,-0.095,0.095
0.3638888888888889,-0.1,0.08
0.36666666666666664,-0.1,0.085
0.36944444444444446,-0.115,0.085
0.37222222222222223,-0.115,0.095
0.375,-0.13,0.09
0.37777777777777777,-0.14,0.06
0.38055555555555554,-0.15,0.05
0.38333333333333336,-0.16,0.085
0.3861111111111111,-0.145,0.1
0.3888888888888889,-0.155,0.095
0.39166666666666666,-0.16,0.08
0.39444444444444443,-0.17,0.09
0.3972222222222222,-0.185,0.085
0.4,-0.175,0.085
0.4027777777777778,-0.17,0.08
0.40555555555555556,-0.165,0.075
0.4083333333333333,-0.17,0.09
0.4111111111111111,-0.17,0.105
0.41388888888888886,-0.165,0.07
0.4166666666666667,-0.18,0.075
0.41944444444444445,-0.18,0.08
0.4222222222222222,-0.2,0.105
0.425,-0.2,0.095
0.42777777777777776,-0.215,0.075
0.4305555555555556,-0.205,0.045
0.43333333333333335,-0.21,0.065
0.4361111111111111,-0.205,0.1
0.4388888888888889,-0.21,0.09
0.44166666666666665,-0.22,0.075
0.4444444444444444,-0.225,0.08
0.44722222222222224,-0.225,0.08
0.45,-0.24,0.075
0.4527777777777778,-0.225,0.06
0.45555555555555555,-0.21,0.055
0.4583333333333333,-0.205,0.085
0.46111111111111114,-0.195,0.095
0.4638888888888889,-0.19,0.07
0.4666666666666667,-0.2,0.065
0.46944444444444444,-0.19,0.09
0.4722222222222222,-0.19,0.105
0.475,-0.185,0.115
0.4777777777777778,-0.17,0.075
0.48055555555555557,-0.17,0.07
0.48333333333333334,-0.175,0.09
0.4861111111111111,-0.165,0.11
0.4888888888888889,-0.165,0.105
0.49166666666666664,-0.185,0.09
0.49444444444444446,-0.185,0.085
0.49722222222222223,-0.205,0.09
0.5,-0.205,0.085
0.5027777777777778,-0.21,0.08
0.5055555555555555,-0.195,0.06
0.5083333333333333,-0.195,0.09
0.5111111111111111,-0.19,0.09
0.5138888888888888,-0.195,0.06
0.5166666666666667,-0.195,0.065
0.5194444444444445,-0.195,0.065
0.5222222222222223,-0.185,0.09
0.525,-0.175,0.085
0.5277777777777778,-0.175,0.045
0.5305555555555556,-0.2,0.025
0.5333333333333333,-0.225,0.04
0.5361111111111111,-0.25,0.07
0.5388888888888889,-0.24,0.055
0.5416666666666666,-0.24,0.03
0.5444444444444444,-0.24,0.02
0.5472222222222223,-0.25,0.02
0.55,-0.26,0.03
0.5527777777777778,-0.27,0.015
0.5555555555555556,-0.28,-0.015
0.5583333333333333,-0.305,0.0
0.5611111111111111,-0.335,0.015
0.5638888888888889,-0.35,0.0
0.5666666666666667,-0.34,-0.025
0.5694444444444444,-0.285,-0.03
0.5722222222222222,-0.205,-0.02
0.575,-0.135,-0.02
0.5777777777777777,-0.095,-0.055
0.5805555555555556,-0.045,-0.08
0.5833333333333334,0.01,-0.07
0.5861111111111111,0.075,-0.04
0.5888888888888889,0.14,-0.055
0.5916666666666667,0.175,-0.065
0.5944444444444444,0.135,-0.095
0.5972222222222222,0.045,-0.08
0.6,-0.155,-0.065
0.6027777777777777,-0.425,-0.07
0.6055555555555555,-0.71,-0.085
0.6083333333333333,-0.915,-0.065
0.6111111111111112,-1.09,-0.05
0.6138888888888889,-1.255,-0.06
0.6166666666666667,-1.395,-0.08
0.6194444444444445,-1.465,-0.08
0.6222222222222222,-1.505,-0.03
0.625,-1.49,-0.02
0.6277777777777778,-1.45,-0.025
0.6305555555555555,-1.39,-0.05
0.6333333333333333,-1.34,-0.005
0.6361111111111111,-1.27,0.03
0.6388888888888888,-1.155,0.045
0.6416666666666667,-1.025,0.045
0.6444444444444445,-0.95,0.025
0.6472222222222223,-0.93,0.03
0.65,-0.93,0.05
0.6527777777777778,-0.91,0.04
0.6555555555555556,-0.885,0.03
0.6583333333333333,-0.865,0.015
0.6611111111111111,-0.84,0.04
0.6638888888888889,-0.8,0.04
0.6666666666666666,-0.755,0.025
0.6694444444444444,-0.715,0.02
0.6722222222222223,-0.66,0.035
0.675,-0.63,0.055
0.6777777777777778,-0.58,0.04
0.6805555555555556,-0.54,0.01
0.6833333333333333,-0.51,0.015
0.6861111111111111,-0.465,0.04
0.6888888888888889,-0.435,0.07
0.6916666666666667,-0.395,0.07
0.6944444444444444,-0.365,0.045
0.6972222222222222,-0.315,0.055
0.7,-0.265,0.08
0.7027777777777777,-0.2,0.09
0.7055555555555556,-0.155,0.09
0.7083333333333334,-0.09,0.08
0.7111111111111111,-0.04,0.09
0.7138888888888889,-0.015,0.1
0.7166666666666667,-0.01,0.105
0.7194444444444444,0.005,0.1
0.7222222222222222,0.03,0.1
0.725,0.055,0.13
0.7277777777777777,0.08,0.13
0.7305555555555555,0.085,0.095
0.7333333333333333,0.09,0.09
0.7361111111111112,0.11,0.09
0.7388888888888889,0.11,0.135
0.7416666666666667,0.13,0.14
0.7444444444444445,0.15,0.115
0.7472222222222222,0.155,0.1
0.75,0.15,0.115
0.7527777777777778,0.18,0.15
0.7555555555555555,0.185,0.135
0.7583333333333333,0.205,0.115
0.7611111111111111,0.22,0.11
0.7638888888888888,0.235,0.125
0.7666666666666667,0.235,0.15
0.7694444444444445,0.255,0.135
0.7722222222222223,0.27,0.125
0.775,0.29,0.15
0.7777777777777778,0.29,0.14
0.7805555555555556,0.3,0.125
0.7833333333333333,0.3,0.105
0.7861111111111111,0.305,0.115
0.7888888888888889,0.325,0.155
0.7916666666666666,0.315,0.165
0.7944444444444444,0.31,0.13
0.7972222222222223,0.315,0.12
0.8,0.315,0.145
0.8027777777777778,0.345,0.16
0.8055555555555556,0.36,0.155
0.8083333333333333,0.37,0.125
0.8111111111111111,0.375,0.125
0.8138888888888889,0.375,0.13
0.8166666666666667,0.365,0.155
0.8194444444444444,0.375,0.14
0.8222222222222222,0.385,0.13
0.825,0.41,0.145
0.8277777777777777,0.405,0.14
0.8305555555555556,0.4,0.125
0.8333333333333334,0.4,0.1
0.8361111111111111,0.405,0.13
0.8388888888888889,0.4,0.16
0.8416666666666667,0.41,0.15
0.8444444444444444,0.395,0.13
0.8472222222222222,0.4,0.105
0.85,0.385,0.14
0.8527777777777777,0.39,0.15
0.8555555555555555,0.395,0.14
0.8583333333333333,0.385,0.12
0.8611111111111112,0.38,0.135
0.8638888888888889,0.355,0.125
0.8666666666666667,0.355,0.13
0.8694444444444445,0.355,0.11
0.8722222222222222,0.35,0.125
0.875,0.325,0.14
0.8777777777777778,0.3,0.12
0.8805555555555555,0.28,0.09
0.8833333333333333,0.25,0.1
0.8861111111111111,0.25,0.11
0.8888888888888888,0.25,0.135
0.8916666666666667,0.25,0.13
0.8944444444444445,0.235,0.1
0.8972222222222223,0.21,0.095
0.9,0.175,0.115
0.9027777777777778,0.165,0.13
0.9055555555555556,0.16,0.115
0.9083333333333333,0.145,0.095
0.9111111111111111,0.14,0.105
0.9138888888888889,0.145,0.12
0.9166666666666666,0.13,0.11
0.9194444444444444,0.1,0.1
0.9222222222222223,0.08,0.11
0.925,0.04,0.125
0.9277777777777778,0.015,0.12
0.9305555555555556,-0.01,0.085
0.9333333333333333,-0.025,0.08
0.9361111111111111,-0.025,0.105
0.9388888888888889,-0.03,0.125
0.9416666666666667,-0.04,0.1
0.9444444444444444,-0.045,0.085
0.9472222222222222,-0.07,0.1
0.95,-0.105,0.105
0.9527777777777777,-0.08,0.1
0.9555555555555556,-0.075,0.09
0.9583333333333334,-0.085,0.09
0.9611111111111111,-0.09,0.115
0.9638888888888889,-0.11,0.1
0.9666666666666667,-0.13,0.085
0.9694444444444444,-0.12,0.105
0.9722222222222222,-0.115,0.12
0.975,-0.125,0.115
0.9777777777777777,-0.15,0.09
0.9805555555555555,-0.17,0.075
0.9833333333333333,-0.16,0.095
0.9861111111111112,-0.16,0.105
0.9888888888888889,-0.15,0.1
0.9916666666666667,-0.155,0.09
0.9944444444444445,-0.16,0.095
0.9972222222222222,-0.17,0.09
1.0,-0.185,0.08
1.0027777777777778,-0.18,0.07
1.0055555555555555,-0.18,0.1
1.0083333333333333,-0.19,0.1
1.011111111111111,-0.18,0.11
1.0138888888888888,-0.17,0.06
1.0166666666666666,-0.16,0.075
1.0194444444444444,-0.14,0.105
1.0222222222222221,-0.14,0.115
1.025,-0.145,0.08
1.0277777777777777,-0.17,0.07
1.0305555555555554,-0.18,0.075
1.0333333333333334,-0.175,0.1
1.0361111111111112,-0.16,0.095
1.038888888888889,-0.155,0.09
1.0416666666666667,-0.155,0.1
1.0444444444444445,-0.165,0.12
1.0472222222222223,-0.15,0.095
1.05,-0.155,0.065
1.0527777777777778,-0.15,0.09
1.0555555555555556,-0.145,0.115
1.0583333333333333,-0.145,0.105
1.0611111111111111,-0.165,0.09
1.0638888888888889,-0.195,0.075
1.0666666666666667,-0.205,0.1
1.0694444444444444,-0.19,0.105
1.0722222222222222,-0.18,0.09
1.075,-0.165,0.075
1.0777777777777777,-0.17,0.1
1.0805555555555555,-0.16,0.09
1.0833333333333333,-0.17,0.08
1.086111111111111,-0.165,0.085
1.0888888888888888,-0.17,0.1
1.0916666666666666,-0.17,0.11
1.0944444444444446,-0.17,0.075
1.0972222222222223,-0.17,0.035
1.1,-0.185,0.07
1.1027777777777779,-0.19,0.095
1.1055555555555556,-0.18,0.095
1.1083333333333334,-0.18,0.07
1.1111111111111112,-0.18,0.09
1.113888888888889,-0.175,0.08
1.1166666666666667,-0.2,0.07
1.1194444444444445,-0.21,0.055
1.1222222222222222,-0.2,0.075
1.125,-0.2,0.105
1.1277777777777778,-0.21,0.08
1.1305555555555555,-0.215,0.055
1.1333333333333333,-0.21,0.06
1.136111111111111,-0.2,0.09
1.1388888888888888,-0.175,0.075
1.1416666666666666,-0.16,0.06
1.1444444444444444,-0.145,0.05
1.1472222222222221,-0.145,0.07
1.15,-0.135,0.085
1.1527777777777777,-0.14,0.075
1.1555555555555554,-0.135,0.06
1.1583333333333334,-0.13,0.08
1.1611111111111112,-0.12,0.095
1.163888888888889,-0.115,0.07
1.1666666666666667,-0.11,0.06
1.1694444444444445,-0.105,0.075
1.1722222222222223,-0.1,0.105
1.175,-0.095,0.105
1.1777777777777778,-0.11,0.065
1.1805555555555556,-0.14,0.07
1.1833333333333333,-0.175,0.095
1.1861111111111111,-0.18,0.105
1.1888888888888889,-0.18,0.09
1.1916666666666667,-0.18,0.075
1.1944444444444444,-0.165,0.095
1.1972222222222222,-0.175,0.09
1.2,-0.175,0.07
1.2027777777777777,-0.175,0.07
1.2055555555555555,-0.165,0.09
1.2083333333333333,-0.165,0.11
1.211111111111111,-0.165,0.08
1.2138888888888888,-0.175,0.03
1.2166666666666666,-0.165,0.06
1.2194444444444446,-0.16,0.085
1.2222222222222223,-0.155,0.09
1.225,-0.15,0.07
1.2277777777777779,-0.155,0.075
1.2305555555555556,-0.16,0.08
1.2333333333333334,-0.16,0.08
1.2361111111111112,-0.155,0.06
1.238888888888889,-0.145,0.075
1.2416666666666667,-0.15,0.095
1.2444444444444445,-0.15,0.09
1.2472222222222222,-0.185,0.075
1.25,-0.2,0.06
1.2527777777777778,-0.2,0.09
1.2555555555555555,-0.195,0.105
1.2583333333333333,-0.19,0.085
1.261111111111111,-0.19,0.065
1.2638888888888888,-0.195,0.075
1.2666666666666666,-0.2,0.1
1.2694444444444444,-0.195,0.095
1.2722222222222221,-0.185,0.08
1.275,-0.175,0.08
1.2777777777777777,-0.175,0.095
1.2805555555555554,-0.155,0.09
1.2833333333333334,-0.17,0.06
1.2861111111111112,-0.17,0.07
1.288888888888889,-0.165,0.09
1.2916666666666667,-0.15,0.105
1.2944444444444445,-0.16,0.075
1.2972222222222223,-0.165,0.05
1.3,-0.175,0.075
1.3027777777777778,-0.17,0.105
1.3055555555555556,-0.17,0.105
1.3083333333333333,-0.185,0.085
1.3111111111111111,-0.215,0.07
1.3138888888888889,-0.225,0.085
1.3166666666666667,-0.19,0.09
1.3194444444444444,-0.125,0.075
1.3222222222222222,-0.04,0.08
1.325,0.05,0.1
1.3277777777777777,0.125,0.105
1.3305555555555555,0.215,0.065
1.3333333333333333,0.32,0.055
1.336111111111111,0.415,0.1
1.3388888888888888,0.5,0.11
1.3416666666666666,0.605,0.105
1.3444444444444446,0.725,0.09
1.3472222222222223,0.845,0.095
1.35,0.94,0.11
